location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nəriman Nərimanov m.,460000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,130.0,3,13,2350.35568779757
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nərimanov r.,285000,Çıxarış var,İpoteka var,Təmirli,130.0,3,10,2262.3388868301045
Gənclik m.,128000,Çıxarış var,İpoteka var,Təmirli,43.0,2,10,2404.484840820714
Nəriman Nərimanov m.,350000,Çıxarış var,İpoteka var,Təmirli,148.0,3,11,2350.35568779757
Gənclik m.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,122.0,2,4,2404.484840820714
Nəriman Nərimanov m.,193000,Çıxarış var,İpoteka var,Təmirli,100.0,3,9,2350.35568779757
Nəriman Nərimanov m.,240000,Çıxarış var,Ipoteka yoxdur,Təmirli,121.0,3,2,2350.35568779757
Nərimanov r.,350000,Çıxarış var,İpoteka var,Təmirli,155.0,3,14,2262.3388868301045
Nəriman Nərimanov m.,135000,Çıxarış var,İpoteka var,Təmirli,65.0,2,8,2350.35568779757
Gənclik m.,195000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,86.0,2,5,2404.484840820714
Nərimanov r.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,85.0,3,18,2262.3388868301045
28 May m.,261000,Çıxarış var,İpoteka var,Təmirli,111.0,3,11,2292.720682644982
Nərimanov r.,150000,Çıxarış var,Ipoteka yoxdur,Təmirli,60.0,2,3,2262.3388868301045
Nərimanov r.,275000,Çıxarış var,Ipoteka yoxdur,Təmirli,170.0,4,3,2262.3388868301045
8 Noyabr m.,177000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,3,12,2189.8477742287632
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,113.0,3,5,2350.35568779757
Nəriman Nərimanov m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,152.0,4,17,2350.35568779757
Nəriman Nərimanov m.,205000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,78.0,2,4,2350.35568779757
Gənclik m.,272000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,137.0,3,6,2404.484840820714
Gənclik m.,125000,Çıxarış var,İpoteka var,Təmirsiz,50.0,1,4,2404.484840820714
Nəriman Nərimanov m.,118000,Çıxarış var,Ipoteka yoxdur,Təmirli,35.0,2,3,2350.35568779757
Gənclik m.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,3,3,2404.484840820714
Gənclik m.,339700,Çıxarış var,Ipoteka yoxdur,Təmirsiz,158.4,3,3,2404.484840820714
Nəriman Nərimanov m.,217000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,130.0,3,14,2350.35568779757
Gənclik m.,195000,Çıxarış var,İpoteka var,Təmirsiz,83.0,2,3,2404.484840820714
Nəriman Nərimanov m.,308000,Çıxarış var,İpoteka var,Təmirsiz,154.0,3,9,2350.35568779757
Nərimanov r.,153000,Çıxarış var,İpoteka var,Təmirsiz,63.0,2,14,2262.3388868301045
Gənclik m.,319000,Çıxarış var,İpoteka var,Təmirli,120.0,3,14,2404.484840820714
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,157.0,3,4,2350.35568779757
Nərimanov r.,215000,Çıxarış var,İpoteka var,Təmirli,112.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,169000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,66.0,2,3,2350.35568779757
Gənclik m.,260150,Çıxarış var,Ipoteka yoxdur,Təmirsiz,121.0,2,3,2404.484840820714
Gənclik m.,360000,Çıxarış var,Ipoteka yoxdur,Təmirli,139.9,4,3,2404.484840820714
Gənclik m.,393450,Çıxarış var,Ipoteka yoxdur,Təmirsiz,183.0,4,3,2404.484840820714
28 May m.,230000,Çıxarış var,Ipoteka yoxdur,Təmirli,110.0,3,16,2292.720682644982
Nərimanov r.,242000,Çıxarış var,İpoteka var,Təmirsiz,103.0,3,3,2262.3388868301045
Nəriman Nərimanov m.,120000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,60.0,1,10,2350.35568779757
Nəriman Nərimanov m.,260000,Çıxarış var,İpoteka var,Təmirli,124.0,3,17,2350.35568779757
Nərimanov r.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,184.0,4,14,2350.35568779757
Nəriman Nərimanov m.,165000,Çıxarış var,İpoteka var,Təmirli,63.0,3,6,2350.35568779757
Nəriman Nərimanov m.,378000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,134.0,4,5,2350.35568779757
28 May m.,209000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,95.0,3,6,2292.720682644982
Nərimanov r.,267000,Çıxarış var,İpoteka var,Təmirsiz,178.0,4,10,2262.3388868301045
Dərnəgül m.,89999,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,60.0,2,17,2143.023642504547
28 May m.,210000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,90.0,3,5,2292.720682644982
28 May m.,440000,Çıxarış var,İpoteka var,Təmirli,160.0,4,10,2292.720682644982
Nəriman Nərimanov m.,205000,Çıxarış var,İpoteka var,Təmirli,65.0,2,6,2350.35568779757
Nəriman Nərimanov m.,260000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,2,15,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,167.0,4,12,2350.35568779757
Nəriman Nərimanov m.,377000,Çıxarış var,Ipoteka yoxdur,Təmirli,129.0,3,4,2350.35568779757
Nəriman Nərimanov m.,285000,Çıxarış var,Ipoteka yoxdur,Təmirli,103.4,3,9,2350.35568779757
Nəriman Nərimanov m.,267000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,2,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,156.0,3,5,2350.35568779757
Nəriman Nərimanov m.,254000,Çıxarış var,İpoteka var,Təmirli,106.0,3,13,2350.35568779757
Nəriman Nərimanov m.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,108.0,3,14,2350.35568779757
Nəriman Nərimanov m.,160000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,58.0,2,3,2350.35568779757
Gənclik m.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,117.0,3,9,2404.484840820714
Nəriman Nərimanov m.,169000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,58.0,2,2,2350.35568779757
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,56.0,2,5,2350.35568779757
Nərimanov r.,225000,Çıxarış var,İpoteka var,Təmirli,96.0,2,4,2262.3388868301045
Nərimanov r.,188000,Çıxarış var,Ipoteka yoxdur,Təmirli,98.0,3,17,2262.3388868301045
Nərimanov r.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,178.0,4,9,2262.3388868301045
Nəriman Nərimanov m.,265000,Çıxarış var,İpoteka var,Təmirli,110.0,3,8,2350.35568779757
Gənclik m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,140.0,3,16,2404.484840820714
Nəriman Nərimanov m.,452500,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.0,4,7,2350.35568779757
Nəriman Nərimanov m.,195000,Çıxarış var,Ipoteka yoxdur,Təmirli,69.0,2,9,2350.35568779757
Nəriman Nərimanov m.,278000,Çıxarış var,Ipoteka yoxdur,Təmirli,120.0,3,12,2350.35568779757
Nərimanov r.,226000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,140.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,205.0,4,17,2350.35568779757
Nərimanov r.,245000,Çıxarış var,Ipoteka yoxdur,Təmirli,86.0,2,16,2262.3388868301045
Nərimanov r.,190000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,109.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,300000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,165.0,4,9,2350.35568779757
Nərimanov r.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,107.0,3,12,2262.3388868301045
Nəriman Nərimanov m.,300000,Çıxarış var,Ipoteka yoxdur,Təmirli,116.0,3,16,2350.35568779757
Nərimanov r.,225000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,105.5,3,16,2262.3388868301045
Nəriman Nərimanov m.,200000,Çıxarış var,İpoteka var,Təmirli,80.0,2,18,2350.35568779757
28 May m.,210000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,95.0,2,5,2292.720682644982
Nərimanov r.,380000,Çıxarış var,İpoteka var,Təmirsiz,172.0,3,19,2262.3388868301045
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Nərimanov r.,158000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,69.0,2,12,2262.3388868301045
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Gənclik m.,255000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,177.0,3,4,2404.484840820714
Nəriman Nərimanov m.,195000,Çıxarış var,İpoteka var,Təmirli,70.0,2,9,2350.35568779757
Nərimanov r.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,178.0,4,8,2262.3388868301045
Nəriman Nərimanov m.,480000,Çıxarış var,Ipoteka yoxdur,Təmirli,220.0,4,17,2350.35568779757
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,117.0,3,12,2262.3388868301045
Nəriman Nərimanov m.,240000,Çıxarış var,İpoteka var,Təmirli,101.0,3,11,2350.35568779757
Nəriman Nərimanov m.,180000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,2,4,2350.35568779757
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,182.0,4,12,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
28 May m.,154000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,5,2292.720682644982
Nərimanov r.,294900,Çıxarış var,İpoteka var,Təmirli,125.0,3,15,2262.3388868301045
Nərimanov r.,239000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,94.0,3,6,2262.3388868301045
Gənclik m.,142000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,5,2404.484840820714
Nərimanov r.,315000,Çıxarış var,İpoteka var,Təmirli,170.0,4,8,2262.3388868301045
8 Noyabr m.,198000,Çıxarış var,Ipoteka yoxdur,Təmirli,97.0,2,6,2189.8477742287632
Nərimanov r.,290000,Çıxarış var,Ipoteka yoxdur,Təmirli,98.0,3,5,2262.3388868301045
Nərimanov r.,193000,Çıxarış var,Ipoteka yoxdur,Təmirli,68.0,2,16,2262.3388868301045
Nəriman Nərimanov m.,135000,Çıxarış var,İpoteka var,Təmirli,62.0,2,8,2350.35568779757
Nəriman Nərimanov m.,255000,Çıxarış var,İpoteka var,Təmirli,95.0,2,5,2350.35568779757
Nəriman Nərimanov m.,205000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,77.0,3,10,2350.35568779757
Nərimanov r.,169000,Çıxarış var,İpoteka var,Təmirli,64.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,285750,Çıxarış var,Ipoteka yoxdur,Təmirsiz,127.0,3,5,2350.35568779757
Nəriman Nərimanov m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,114.0,3,4,2350.35568779757
Nəriman Nərimanov m.,230000,Çıxarış var,İpoteka var,Təmirli,122.0,3,18,2350.35568779757
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
Nərimanov r.,194000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,86.0,2,4,2262.3388868301045
Nərimanov r.,410000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,4,2,2262.3388868301045
Gənclik m.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,117.0,3,11,2404.484840820714
28 May m.,290000,Çıxarış var,Ipoteka yoxdur,Təmirli,145.0,3,14,2292.720682644982
28 May m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,122.0,3,11,2292.720682644982
Nərimanov r.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,156.0,3,9,2262.3388868301045
Nərimanov r.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,122.0,3,11,2262.3388868301045
Nərimanov r.,176000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,80.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,335000,Çıxarış var,İpoteka var,Təmirli,119.2,4,4,2350.35568779757
28 May m.,185000,Çıxarış var,İpoteka var,Təmirli,115.0,3,9,2292.720682644982
Nəriman Nərimanov m.,125000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,165.0,4,11,2350.35568779757
Gənclik m.,142000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,74.0,2,12,2404.484840820714
Nəriman Nərimanov m.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,135.0,4,5,2350.35568779757
Nəriman Nərimanov m.,118000,Çıxarış var,İpoteka var,Təmirli,35.0,2,8,2350.35568779757
Nəriman Nərimanov m.,125000,Çıxarış var,Ipoteka yoxdur,Təmirli,45.0,1,15,2350.35568779757
Nəriman Nərimanov m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,102.5,3,14,2350.35568779757
Nərimanov r.,69000,Çıxarış var,Ipoteka yoxdur,Təmirli,50.0,2,18,2262.3388868301045
Nərimanov r.,314000,Çıxarış var,İpoteka var,Təmirli,160.0,4,8,2262.3388868301045
Nəriman Nərimanov m.,240000,Çıxarış var,İpoteka var,Təmirli,101.0,2,11,2350.35568779757
Nəriman Nərimanov m.,154000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,67.0,2,5,2350.35568779757
Nəriman Nərimanov m.,135000,Çıxarış var,İpoteka var,Təmirli,62.0,1,8,2350.35568779757
Nəriman Nərimanov m.,180000,Çıxarış var,İpoteka var,Təmirli,85.6,2,4,2350.35568779757
Nərimanov r.,192000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,105.0,2,5,2262.3388868301045
Nəriman Nərimanov m.,238000,Çıxarış var,İpoteka var,Təmirli,74.2,3,7,2350.35568779757
Nərimanov r.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,126.0,3,8,2262.3388868301045
Nəriman Nərimanov m.,240000,Çıxarış var,İpoteka var,Təmirli,140.0,3,6,2350.35568779757
Nəriman Nərimanov m.,267000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,2,2350.35568779757
Nərimanov r.,487284,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,232.0,4,7,2262.3388868301045
Nərimanov r.,380000,Çıxarış var,İpoteka var,Təmirsiz,172.0,3,19,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nəriman Nərimanov m.,260000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,3,10,2350.35568779757
Nərimanov r.,200000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,200.0,4,18,2262.3388868301045
8 Noyabr m.,275000,Çıxarış var,İpoteka var,Təmirli,80.0,3,3,2189.8477742287632
Gənclik m.,215000,Çıxarış var,İpoteka var,Təmirli,115.0,3,15,2404.484840820714
Nərimanov r.,308000,Çıxarış var,İpoteka var,Təmirli,116.0,3,3,2262.3388868301045
Nəriman Nərimanov m.,215000,Çıxarış var,İpoteka var,Təmirli,75.0,2,7,2350.35568779757
Gənclik m.,228000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,107.0,3,8,2404.484840820714
Nəriman Nərimanov m.,224000,Çıxarış var,İpoteka var,Təmirli,70.0,2,3,2350.35568779757
Gənclik m.,360000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,138.0,4,9,2404.484840820714
28 May m.,360000,Çıxarış var,İpoteka var,Təmirsiz,215.0,4,11,2292.720682644982
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,172.0,4,11,2350.35568779757
Gənclik m.,218000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,106.0,3,5,2404.484840820714
Nəriman Nərimanov m.,182000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,72.0,2,3,2350.35568779757
Nəriman Nərimanov m.,204900,Çıxarış var,İpoteka var,Təmirsiz,77.0,3,10,2350.35568779757
Nəriman Nərimanov m.,170000,Çıxarış var,Ipoteka yoxdur,Təmirli,70.0,2,2,2350.35568779757
Nərimanov r.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,105.0,2,14,2262.3388868301045
Nəriman Nərimanov m.,285000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,175.0,4,7,2350.35568779757
Nərimanov r.,158000,Çıxarış var,Ipoteka yoxdur,Təmirli,63.0,3,9,2262.3388868301045
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,112.0,2,17,2350.35568779757
Nərimanov r.,159000,Çıxarış var,Ipoteka yoxdur,Təmirli,55.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,214500,Çıxarış var,İpoteka var,Təmirli,115.0,3,15,2350.35568779757
Nəriman Nərimanov m.,240000,Çıxarış var,Ipoteka yoxdur,Təmirli,141.0,3,6,2350.35568779757
28 May m.,410000,Çıxarış var,İpoteka var,Təmirli,186.0,4,13,2292.720682644982
Gənclik m.,379000,Çıxarış var,İpoteka var,Təmirli,140.0,4,17,2404.484840820714
Nəriman Nərimanov m.,297330,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.4,4,6,2350.35568779757
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Nəriman Nərimanov m.,258000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,105.0,2,10,2350.35568779757
Gənclik m.,150000,Çıxarış var,İpoteka var,Təmirli,80.0,2,6,2404.484840820714
Nəriman Nərimanov m.,320000,Çıxarış var,İpoteka var,Təmirli,115.0,3,6,2350.35568779757
Gənclik m.,370000,Çıxarış var,İpoteka var,Təmirli,147.0,3,9,2404.484840820714
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nərimanov r.,265000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,97.0,3,16,2262.3388868301045
Nəriman Nərimanov m.,270000,Çıxarış var,Ipoteka yoxdur,Təmirli,112.0,2,17,2350.35568779757
Gənclik m.,240000,Çıxarış var,İpoteka var,Təmirsiz,205.0,4,16,2404.484840820714
Nərimanov r.,169000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,66.0,2,3,2262.3388868301045
Nəriman Nərimanov m.,460000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,130.0,3,13,2350.35568779757
Nəriman Nərimanov m.,199000,Çıxarış var,Ipoteka yoxdur,Təmirli,150.0,5,10,2350.35568779757
Nəriman Nərimanov m.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,135.0,4,5,2350.35568779757
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,75.0,2,7,2350.35568779757
Nəriman Nərimanov m.,215000,Çıxarış var,İpoteka var,Təmirli,115.0,3,15,2350.35568779757
28 May m.,158000,Çıxarış var,Ipoteka yoxdur,Təmirli,64.0,3,9,2292.720682644982
Gənclik m.,350400,Çıxarış var,Ipoteka yoxdur,Təmirsiz,146.0,3,10,2404.484840820714
Gənclik m.,190000,Çıxarış var,Ipoteka yoxdur,Təmirli,58.0,2,4,2404.484840820714
Nəriman Nərimanov m.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,5,2350.35568779757
Nəriman Nərimanov m.,378000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,125.0,3,7,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,15,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,108.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,123.0,3,12,2350.35568779757
Nəriman Nərimanov m.,180000,Çıxarış var,İpoteka var,Təmirli,75.0,2,2,2350.35568779757
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
Nəriman Nərimanov m.,148000,Çıxarış var,İpoteka var,Təmirli,65.0,2,3,2350.35568779757
Nərimanov r.,380000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,3,17,2262.3388868301045
Nəriman Nərimanov m.,410000,Çıxarış var,Ipoteka yoxdur,Təmirli,127.0,3,4,2350.35568779757
Gənclik m.,165000,Çıxarış var,İpoteka var,Təmirli,84.0,2,14,2404.484840820714
Nərimanov r.,172000,Çıxarış var,Ipoteka yoxdur,Təmirli,68.0,3,14,2262.3388868301045
28 May m.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,138.0,3,13,2292.720682644982
Gənclik m.,351600,Çıxarış var,Ipoteka yoxdur,Təmirsiz,146.5,3,4,2404.484840820714
Nərimanov r.,110000,Çıxarış var,İpoteka var,Təmirli,38.0,1,12,2262.3388868301045
Gənclik m.,180000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,112.0,2,3,2404.484840820714
Gənclik m.,228000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,106.5,3,8,2404.484840820714
Gənclik m.,158000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,68.0,2,4,2404.484840820714
Gənclik m.,346800,Çıxarış var,Ipoteka yoxdur,Təmirsiz,144.5,3,7,2404.484840820714
Nərimanov r.,215000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,3,5,2262.3388868301045
Nərimanov r.,225000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,105.0,3,15,2262.3388868301045
Nərimanov r.,290000,Çıxarış var,İpoteka var,Təmirli,165.0,3,11,2262.3388868301045
Nərimanov r.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,117.0,3,12,2262.3388868301045
Nəriman Nərimanov m.,270000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,112.0,2,17,2350.35568779757
Gənclik m.,458000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,171.4,4,11,2404.484840820714
28 May m.,168000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,68.0,2,14,2292.720682644982
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,13,2262.3388868301045
Gənclik m.,192000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,86.0,2,3,2404.484840820714
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,4,4,2350.35568779757
Gənclik m.,352000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,130.2,3,11,2404.484840820714
Nəriman Nərimanov m.,400000,Çıxarış var,Ipoteka yoxdur,Təmirli,171.0,3,7,2350.35568779757
Nərimanov r.,194000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,86.0,2,4,2262.3388868301045
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Nəriman Nərimanov m.,314180,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,136.6,3,10,2350.35568779757
Nəriman Nərimanov m.,260000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,100.3,2,8,2350.35568779757
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,13,2262.3388868301045
Nərimanov r.,275000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,153.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,384000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,142.6,3,10,2350.35568779757
Nərimanov r.,186000,Çıxarış var,Ipoteka yoxdur,Təmirli,72.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,245000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,118.0,3,2,2350.35568779757
Nəriman Nərimanov m.,380000,Çıxarış var,İpoteka var,Təmirli,184.0,3,4,2350.35568779757
Gənclik m.,295000,Çıxarış var,İpoteka var,Təmirli,86.0,2,9,2404.484840820714
Gənclik m.,287000,Çıxarış var,Ipoteka yoxdur,Təmirli,110.0,3,8,2404.484840820714
Nəriman Nərimanov m.,270000,Çıxarış var,İpoteka var,Təmirli,116.0,3,8,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,153.0,3,3,2350.35568779757
Nərimanov r.,250000,Çıxarış var,İpoteka var,Təmirli,115.0,3,7,2262.3388868301045
Nəriman Nərimanov m.,135000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,9,2350.35568779757
Nəriman Nərimanov m.,135000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,65.0,1,9,2350.35568779757
Nəriman Nərimanov m.,325000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.2,4,6,2350.35568779757
Nəriman Nərimanov m.,190000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,82.0,2,4,2350.35568779757
Nərimanov r.,150000,Çıxarış var,İpoteka var,Təmirli,81.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,455000,Çıxarış var,Ipoteka yoxdur,Təmirli,212.0,5,15,2350.35568779757
Nərimanov r.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,54.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,300000,Çıxarış var,Ipoteka yoxdur,Təmirli,142.0,4,10,2350.35568779757
Nərimanov r.,485000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,205.0,4,5,2262.3388868301045
Nərimanov r.,349000,Çıxarış var,Ipoteka yoxdur,Təmirli,150.0,3,17,2262.3388868301045
Gənclik m.,180000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,117.0,4,14,2404.484840820714
Nərimanov r.,207000,Çıxarış var,İpoteka var,Təmirli,74.0,2,7,2262.3388868301045
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,109.0,2,5,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,157.0,3,4,2350.35568779757
Nəriman Nərimanov m.,445000,Çıxarış var,İpoteka var,Təmirli,185.0,4,12,2350.35568779757
Nəriman Nərimanov m.,205000,Çıxarış var,İpoteka var,Təmirli,88.0,2,6,2350.35568779757
Nərimanov r.,200000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,103.0,2,3,2262.3388868301045
